event_id,event_time,event_time_utc,event_time_china,title,content,source,asset_symbol,binance_spot_symbol,binance_futures_symbol,event_type,direction_hint,importance
cand_00077,2026-05-19 08:36:06 UTC+8,2026-05-19T00:36:06Z,2026-05-19 08:36:06 UTC+8,"Whale Loracle.hl (@loraclexyz) has further increased his $HYPE (5x) short position to 1.44M $HYPE, valued at $69.3M with","Whale Loracle.hl (@loraclexyz) has further increased his $HYPE (5x) short position to 1.44M $HYPE, valued at $69.3M with a liquidation price of $69.64 and a floating loss of ~$8M.

https://t.co/Z3vQB9Mk8z https://t.co/U6SMTvfHfd",webhook,HYPE,,HYPEUSDT,whale_position,observe,3
cand_00419,2026-05-19 01:41:53 UTC+8,2026-05-18T17:41:53Z,2026-05-19 01:41:53 UTC+8,White House: Bitcoin Reserve Announcement Is Imminent,"The White House is nearing a formal announcement on a U.S. Strategic Bitcoin Reserve, with Patrick Witt saying the administration has already cleared a key legal hurdle.

The White House is on the verge of a formal announcement on the U.S. Strategic Bitcoin Reserve — and the official leading the charge says the hard part is done.

Patrick Witt, Executive Director of the President’s Council of Advisors for Digital Assets, told an interviewer this week that the administration has cleared a major legal hurdle in standing up the reserve.

“We’ll have an announcement,” Witt said. “I wish I could say more… It’s a breakthrough as far as getting everything in place, legally sound, properly safeguarding the assets.”

The signal follows a similar declaration Witt made at the Bitcoin 2026 conference in Las Vegas, where he told the crowd an update was coming within weeks.

President Trump signed the executive order establishing the Strategic Bitcoin Reserve on March 6, 2025. Since then, Witt says his deputy Harry John has driven the interagency process: identifying what legal authorities exist, commissioning the necessary legal memos, and building a custody and reporting infrastructure across federal agencies that were designed for gold, not private keys.

The reserve holds an estimated 328,372 BTC — roughly 1.6% of total global supply — accumulated through law enforcement seizures, including the Silk Road takedown, the 2022 Bitfinex hack recovery, and years of criminal forfeitures.

The executive order bars the Treasury from selling a single coin.

Witt pointed to a breach at the U.S. Marshals Service as proof that the reserve’s security mandate is urgent. A government contractor named John Daghita allegedly stole more than $46 million in cryptocurrency from USMS custody accounts in late 2025, and the FBI arrested him in March 2026. A separate $24 million theft was traced to October 2024.

“It’s a case in point for why it was so necessary that the president established the SBR,” Witt said.

An executive order dies the moment a new president takes office. That vulnerability is the core argument for two bills now moving through Congress. Rep. Nick Begich recently rebranded the BITCOIN Act as the American Reserves Modernization Act (ARMA), which would authorize the U.S. Treasury to purchase up to 200,000 BTC per year for five years — with holdings locked for a minimum of 20 years. Senator Cynthia Lummis has put Congress on a deadline, pushing for a vote before the summer recess as midterm campaigning begins to consume floor time.

If the BITCOIN Act passes, the Treasury’s first open-market Bitcoin purchase is projected for Q4 2026 — making the U.S. the first sovereign nation to actively accumulate Bitcoin as a strategic reserve asset.",news:bitcoinmagazine,BTC,BTCUSDT,BTCUSDT,hack_security,risk,4
cand_00074,2026-05-19 08:40:15 UTC+8,2026-05-19T00:40:15Z,2026-05-19 08:40:15 UTC+8,Santiment：持有至少100 BTC的钱包数量增至20229,"币界网消息，据Cointelegraph报道，持有至少100枚BTC的钱包数量已上升至20,229个，比一年前增长了11.2%。这表明，尽管市场波动，鲸鱼和机构投资者仍在持续积累比特币。",webhook,BTC,BTCUSDT,BTCUSDT,institutional_flow,observe,4
cand_00484,2026-05-19 00:50:18 UTC+8,2026-05-18T16:50:18Z,2026-05-19 00:50:18 UTC+8,Adshares桥攻击者归还256枚ETH，覆盖86%被盗资金,币界网消息，据Cointelegraph报道，Adshares桥的攻击者已归还256枚ETH，覆盖了被盗资金的86%。,webhook,ETH,ETHUSDT,ETHUSDT,hack_security,risk,4
cand_00304,2026-05-19 04:00:00 UTC+8,2026-05-18T20:00:00Z,2026-05-19 04:00:00 UTC+8,Kraken revenue hits $507m in Q1 despite slump,"Kraken revenue rose 3% year-on-year to $507m in Q1 2026 as futures trading jumped 51%, Payward said Monday.

Payward, Kraken’s Wyoming-based parent company, said in a Monday press release that it generated $507 million in Q1 2026 adjusted revenue, up 3% from the same quarter a year earlier. Bitcoin fell 22% during the quarter and industry-wide spot trading volume dropped 38%, yet Payward’s diversified platform cushioned the decline.

A year earlier, Payward had reported $492 million in Q1 2025 adjusted revenue, making the 3% year-on-year gain notable given the steeper market downturn this cycle.

Co-CEO Arjun Sethi said in the release: “Where others pulled back, we leaned in.” Growth in futures and newer business lines offset weakness in core crypto markets, with Kraken’s spot market share rising to 5.2% in March from roughly 3.5% in mid-2025.

Rival platforms reported sharper declines in trading revenue over the same period. Payward attributed its resilience to its stronger institutional business and growing derivatives offering, built partly through its $550 million acquisition of CFTC-licensed platform Bitnomial, which crypto.news covered when the deal completed on May 4.

Total platform transaction volume reached $357 billion in Q1, while funded accounts rose 47% year-on-year to 6.1 million and assets on platform reached $40 billion.

Adjusted EBITDA fell to $18 million as Payward continued investing in acquisitions including tokenization platform Backed, token management firm Magna, Bitnomial, and payments company Reap.

Crypto.news reported that non-trading revenue sources including custody, payments, and financing accounted for 53% of Payward’s 2025 total, a structural shift that reduces dependence on volatile trading volumes.

Payward filed its draft S-1 with the SEC confidentially in November 2025 but paused the process in March, citing market conditions. Sources indicate a public listing may slip to 2027. The exchange also cut approximately 150 employees in May, attributing the reductions to AI-driven operational efficiencies, representing roughly 5% of its total workforce.

Payward’s M&A push positions it as the most comprehensively regulated crypto derivatives platform in the US. Crypto.news documented how the Bitnomial deal and Deutsche Börse’s $200 million stake established Payward as a regulated hub for digital asset futures and options inside the US, with its IPO filing remaining active.",news:cryptonews,BTC,BTCUSDT,BTCUSDT,macro,observe,4
cand_00112,2026-05-19 08:00:00 UTC+8,2026-05-19T00:00:00Z,2026-05-19 08:00:00 UTC+8,Galaxy Digital wins New York BitLicense,"Galaxy Digital secured a BitLicense from New York on May 18 to offer regulated crypto services to institutions.

Galaxy Digital announced on May 18 that the New York State Department of Financial Services granted its subsidiary GalaxyOne Prime NY both a BitLicense and a Money Transmission License.

The approvals authorise Galaxy to offer regulated digital asset trading and custody services to institutions across New York State, including registered investment advisers, hedge funds, and family offices on a platform managing approximately $9 billion in client assets.

“New York is home to the deepest pool of institutional capital in the country, and digital assets are no longer sitting at the edge of those allocations,” said Mike Novogratz, Galaxy’s founder and CEO, in a statement.

Galaxy becomes only the second firm to receive a BitLicense in 2026, following bitcoin payments firm Strike, which secured NYDFS approval in March.

The framework, introduced in 2015, is one of the strictest crypto licensing regimes in the US, requiring capital minimums, ongoing compliance reviews, and cybersecurity oversight. Only around 40 companies have been approved since launch. New York now joins Galaxy’s regulatory network of more than 50 global licences.

As crypto.news reported , Galaxy research head Alex Thorn has been closely tracking institutional Bitcoin allocations throughout 2026. The New York BitLicense gives Galaxy’s trading and custody platform direct access to the institutions driving those flows, in a state that holds the largest concentration of hedge funds and investment advisers in the US.

BitLicense holders include Coinbase, Robinhood, Circle, and PayPal, making Galaxy’s approval a signal that NYDFS continues selectively admitting crypto firms. As crypto.news documented in its 2025 coverage of Galaxy’s Q2 results, the firm has been building out its data center and AI infrastructure alongside its digital asset platform.

The New York licence now opens one of the world’s largest institutional pools to a firm that generated record results in Global Markets last year and has expanded its data center operations significantly since.

Galaxy’s shares fell 2.36% to $28.91 in pre-market trading on Monday despite the approval, reflecting broader market weakness on the day.",news:cryptonews,BTC,BTCUSDT,BTCUSDT,macro,observe,4
cand_00339,2026-05-19 03:17:10 UTC+8,2026-05-18T19:17:10Z,2026-05-19 03:17:10 UTC+8,JUST IN: Pro-Bitcoin Kevin Warsh to be sworn in as Federal Reserve Chair this Friday 👀🇺🇸 https://t.co/61p7sCHfHu,JUST IN: Pro-Bitcoin Kevin Warsh to be sworn in as Federal Reserve Chair this Friday 👀🇺🇸 https://t.co/61p7sCHfHu,webhook,BTC,BTCUSDT,BTCUSDT,macro,observe,4
cand_00016,2026-05-19 10:12:50 UTC+8,2026-05-19T02:12:50Z,2026-05-19 10:12:50 UTC+8,"5/18 Ethereum ETF Net Flow: $-84.14m
$ETHA (BlackRock): –$55.40m
$FETH (Fidelity): –$14.70m
$ETHW (Bitwise): $0.00m
$TET","5/18 Ethereum ETF Net Flow: $-84.14m
$ETHA (BlackRock): –$55.40m
$FETH (Fidelity): –$14.70m
$ETHW (Bitwise): $0.00m
$TETH (21Shares): $0.00m
$QETH (Invesco): $0.00m
$EZET (Franklin): $0.00m
$ETHV (VanEck): $0.00m
$ETHB (BlackRock Staked): –$0.01m
$ETHE (Grayscale): –$3.96m
$ETH (Grayscale mini): –$10.08m",webhook,ETH,ETHUSDT,ETHUSDT,staking_governance,observe,3
cand_00064,2026-05-19 09:00:20 UTC+8,2026-05-19T01:00:20Z,2026-05-19 09:00:20 UTC+8,"🔥 BULLISH: Bitwise announces it will hold $HYPE on its balance sheet, allocating 10% of its Hyperliquid ETF (BHYP) manag","🔥 BULLISH: Bitwise announces it will hold $HYPE on its balance sheet, allocating 10% of its Hyperliquid ETF (BHYP) management fee directly toward the token. https://t.co/f1Canng0BA",webhook,HYPE,,HYPEUSDT,institutional_flow,observe,4
cand_00160,2026-05-19 06:42:26 UTC+8,2026-05-18T22:42:26Z,2026-05-19 06:42:26 UTC+8,以太坊质押比例上升至31%，长期持有者信心依旧,币界网消息，据The Block报道，尽管以太坊年内价格已下跌约26%，但其质押比例由年初的约29%升至总供应量的约31%。持续增长的质押规模显示，长期持有者在价格承压及链上风险仍存的情况下，依然对以太坊保持信心，并逐步减少市场流通供应。随着现货以太坊ETF发展及以太坊上代币化活动扩张，机构对质押以太坊的需求可能为质押生态带来新的结构性资金流入，但是否会进一步传导至以太坊价格，仍取决于机构资金的实际配置进展。,webhook,ETH,ETHUSDT,ETHUSDT,staking_governance,observe,3
cand_00365,2026-05-19 02:45:00 UTC+8,2026-05-18T18:45:00Z,2026-05-19 02:45:00 UTC+8,Bitwise将用10%管理费购买$HYPE,币界网消息，Bitwise宣布将使用其BHYP Hyperliquid ETF管理费的10%来购买并持有$HYPE代币。此外，99%的区块链收入将用于回购和销毁HYPE代币。,webhook,HYPE,,HYPEUSDT,institutional_flow,observe,4
cand_00478,2026-05-19 00:55:05 UTC+8,2026-05-18T16:55:05Z,2026-05-19 00:55:05 UTC+8,"Stablecoins aren't just a US story.

@John1wu spoke to @LowBeta on what @avax is quietly building across Asia and LatAm:","Stablecoins aren't just a US story.

@John1wu spoke to @LowBeta on what @avax is quietly building across Asia and LatAm:

↳ @StraitsX + Monetary Authority of Singapore.
↳ @Alipay and GrabPay rails.
↳ Nonco doing on-chain FX in LatAm.
↳ @rain as the on/off ramp.

The non-US stablecoin universe is here.",webhook,AVAX,AVAXUSDT,AVAXUSDT,other,observe,3
cand_00482,2026-05-19 00:53:58 UTC+8,2026-05-18T16:53:58Z,2026-05-19 00:53:58 UTC+8,Bitwise to add HYPE to balance sheet using fees from Hyperliquid ETF,Bitwise to add HYPE to balance sheet using fees from Hyperliquid ETF,webhook,HYPE,,HYPEUSDT,institutional_flow,observe,4
cand_00449,2026-05-19 01:19:22 UTC+8,2026-05-18T17:19:22Z,2026-05-19 01:19:22 UTC+8,Ethereum Foundation 研究员 Carl Beek 与 Julian Ma 于周一宣布离职。其中，Carl Beek 在以太坊工作约 7 年，曾参与 Beacon Chain 及以太坊 PoS 升级；Julian Ma 在以,Ethereum Foundation 研究员 Carl Beek 与 Julian Ma 于周一宣布离职。其中，Carl Beek 在以太坊工作约 7 年，曾参与 Beacon Chain 及以太坊 PoS 升级；Julian Ma 在以太坊工作约 4 年，曾参与 FOCIL（EIP-7805）提案撰写及 Fast Confirmation Rule 推进工作。此前，Ethereum Foundation 前联合执行董事 Tomasz K. Stańczak、前成员 Josh Stark，以及 Protocol 团队成员 Barnabé Monnot、Tim Beiko、Alex Stokes 等人也已相继离职或暂时休假。（The Block）https://t.co/9gtDyj94Sj,webhook,ETH,ETHUSDT,ETHUSDT,network_upgrade,observe,3
cand_00227,2026-05-19 05:20:51 UTC+8,2026-05-18T21:20:51Z,2026-05-19 05:20:51 UTC+8,Revolut推出首张实体加密卡，主打Dogecoin主题,金融科技公司 Revolut 宣布推出其首张实体加密借记卡，该卡以 Dogecoin 为主题，并配备可在用户轻触支付时亮起的 LED 显示屏。该卡可在支持 Visa 和 Mastercard 的商户使用，并将率先在英国及欧洲经济区推出。此次发布正值加密卡使用量持续增长之际。Crypto.com、Coinbase、Binance 等平台均在扩大加密卡服务，Gemini 也将信用卡业务视为重要收入增长来源。数据显示，近期加密卡日交易量已多次突破 10 万笔，行业支付场景正在进一步扩展。,news:odaily_exchange_gap,DOGE,DOGEUSDT,DOGEUSDT,other,observe,3
cand_00456,2026-05-19 01:11:22 UTC+8,2026-05-18T17:11:22Z,2026-05-19 01:11:22 UTC+8,Ethereum's Vitalik Buterin Explains How AI Could Make Smart Contracts Truly Secure,"Writer by choice, CryptoCurrency Writer, and Researcher by chance. Currently, focusing on financial news and analysis, as well as cryptocurrency news and data. One may not call me a crypto “Enthusiast” but trust me I'm getting there.

Writer by choice, CryptoCurrency Writer, and Researcher by chance. Currently, focusing on financial news and analysis, as well as cryptocurrency news and data. One may not call me a crypto “Enthusiast” but trust me I'm getting there.

Writer by choice, CryptoCurrency Writer, and Researcher by chance. Currently, focusing on financial news and analysis, as well as cryptocurrency news and data. One may not call me a crypto “Enthusiast” but trust me I'm getting there.

Ethereum co-founder Vitalik Buterin has published a detailed argument that AI-assisted formal verification could fundamentally change how secure software is built, pushing back against growing pessimism in the cybersecurity community about whether trustless systems can survive increasingly powerful AI-driven attacks.

“Many people have claimed that with AI-assisted bug finding, secure code will be impossible,” Buterin wrote. “I have a much more optimistic take, and AI-assisted formal verification is a major part of the reason why.”

Formal verification is the practice of writing mathematical proofs about code that can be checked automatically by a computer. Rather than testing software and hoping bugs do not appear, developers write proofs that mathematically guarantee a piece of code behaves exactly as intended under all conditions.

Many people have claimed that with AI-assisted bug finding, secure code (and hence trustless anything) will be impossible. I have a much more optimistic take, and AI-assisted formal verification is a major part of the reason why: https://t.co/0ceMBZ6uqj

The technology has existed for decades but remained niche because writing these proofs by hand is extremely difficult and time-consuming. Buterin’s argument is that AI changes this equation dramatically. AI can write both the code and the proofs, while humans simply verify that the statements being proved match what they actually want the software to do.

He described this combination as what researcher Yoichi Hirai calls “the final form of software development.”

Buterin pointed to several areas where formal verification is already being applied within Ethereum’s development ecosystem. These include quantum-resistant signatures, STARK proof systems, consensus algorithms, and ZK-EVMs, all areas where the security properties are simple to define even though the underlying code is extraordinarily complex.

Projects like Arklib are working toward a fully formally verified STARK implementation. The evm-asm project is building an entire EVM written directly in RISC-V assembly, verified mathematically against a human-readable reference implementation. Byzantine fault-tolerant consensus protocols are also being formally specified and verified in Lean.

The main insight is that for these systems the gap between what the code does and what it is supposed to do can be closed with mathematical certainty rather than probabilistic testing.

Buterin was careful not to overstate the case. Formal verification has real failure modes. Proofs can be written about only part of a system while critical bugs hide in unverified sections. Developers can forget to specify properties that matter. The formal specification itself can be wrong. Hardware vulnerabilities like side-channel attacks can bypass even mathematically correct software.

“Provable correctness does not prove that software is correct in the way most human beings understand correctness,” he wrote. What formal verification actually does is allow developers to express their intentions in multiple different redundant ways and automatically check that all those expressions are compatible with each other.

Buterin described an optimistic future where software splits into two layers. An insecure edge layer handles lower-stakes functions, runs in sandboxes, and operates with minimal permissions. A secure core handles everything critical, including Ethereum itself, operating system kernels, and sensitive IoT infrastructure.

The secure core is kept deliberately small and subjected to aggressive formal verification. AI brings the computational power to make verification practical at scale. The result is not software with zero bugs but software where the most critical components can be trusted with mathematical confidence rather than hope.

“Defenders finally have a chance to win, decisively,” he concluded, citing Mozilla’s own experience hardening its codebase against AI-assisted attack tools.",news:coinpedia,ETH,ETHUSDT,ETHUSDT,macro,observe,4
cand_00134,2026-05-19 07:20:00 UTC+8,2026-05-18T23:20:00Z,2026-05-19 07:20:00 UTC+8,Revolut launches first physical crypto card,"Revolut launched its first physical crypto card on May 18, a Dogecoin-themed LED card for the UK and EEA.

Revolut announced on May 18 that it is launching its first physical crypto card, a Dogecoin-themed debit card with an LED display that illuminates at the point of payment. The card works anywhere Visa and Mastercard are accepted, with an initial rollout in the UK and EEA.

Our first physical crypto card: – Dogeeeeeeeee – Zero exchange fees – LED lights up when you tap to pay – Spend everywhere Visa and Mastercard are accepted Available in the UK and EEA (except Hungary, Switzerland and Portugal). Initial supplies may be limited. Crypto card…

The firm said there are no additional exchange fees on crypto payments, though transactions are subject to real-time exchange rates at the point of purchase and may create tax obligations depending on local rules. Revolut converts users’ crypto to fiat automatically at checkout, meaning merchants receive standard settlement currency without touching digital assets directly.

The physical card links to users’ crypto balances and handles the conversion in the background. That removes the primary friction point that has kept crypto spending separate from everyday consumer finance: the need to manually convert before each purchase. Spending limits include a £100,000 cap per transaction and a maximum of 100 exchanges within any 24-hour period.

As crypto.news reported just days earlier, Revolut also secured FCA permissions for leveraged investment products, discretionary portfolio management, and advisory services.

The crypto card launch sits within a broader regulatory and product expansion that also includes its full UK banking licence received in March 2026 and a US banking charter application filed the same month. Revolut serves over 70 million users globally.

Revolut’s distribution scale is the headline fact here. As crypto.news documented in its crypto cards guide, consumer appetite for crypto-linked debit products has grown steadily in 2026 alongside regulatory clarity. Adding a physical card to a 70-million-user platform creates a potential mass adoption vehicle that most crypto-native card products have lacked.

The company’s earlier US banking licence application signals the card will eventually expand beyond the UK and EEA, potentially bringing crypto spending to one of the world’s largest consumer markets.

Tax treatment remains the main practical barrier: crypto payments are taxable sale events in most jurisdictions, meaning frequent spenders need clear record-keeping infrastructure to manage cost basis and gains.",news:cryptonews,DOGE,DOGEUSDT,DOGEUSDT,macro,observe,4
cand_00423,2026-05-19 01:39:01 UTC+8,2026-05-18T17:39:01Z,2026-05-19 01:39:01 UTC+8,"🚨MORE ETHEREUM FOUNDATION RESEARCHERS RESIGN

Ethereum Foundation researchers Carl Beek and Julian Ma have resigned, add","🚨MORE ETHEREUM FOUNDATION RESEARCHERS RESIGN

Ethereum Foundation researchers Carl Beek and Julian Ma have resigned, adding to a wider wave of exits.

Recent departures also include Protocol team figures Barnabé Monnot and Tim Beiko, Protocol Guild organizer Trent Van Epps, and former Protocol co-lead Alex Stokes, who announced a sabbatical earlier this month.

Why?",webhook,ETH,ETHUSDT,ETHUSDT,other,observe,3
cand_00457,2026-05-19 01:10:18 UTC+8,2026-05-18T17:10:18Z,2026-05-19 01:10:18 UTC+8,"🔥 UPDATE: Solana’s RWA market just crossed $2.8B, a new all-time high. https://t.co/cUH5EbjwVi","🔥 UPDATE: Solana’s RWA market just crossed $2.8B, a new all-time high. https://t.co/cUH5EbjwVi",webhook,SOL,SOLUSDT,SOLUSDT,other,observe,3
cand_00392,2026-05-19 02:10:16 UTC+8,2026-05-18T18:10:16Z,2026-05-19 02:10:16 UTC+8,"🔥 BULLISH: Tokenized stocks on Ondo Finance crossed $1.5B in TVL, with Ondo’s top five assets making up 25% of the secto","🔥 BULLISH: Tokenized stocks on Ondo Finance crossed $1.5B in TVL, with Ondo’s top five assets making up 25% of the sector. https://t.co/mB1XFBX0VF",webhook,ONDO,ONDOUSDT,ONDOUSDT,other,observe,3
cand_00402,2026-05-19 02:00:00 UTC+8,2026-05-18T18:00:00Z,2026-05-19 02:00:00 UTC+8,NYDIG warns US crypto market-structure bill could 'fail' if August window is missed,"NYDIG says a rare bipartisan window to pass a comprehensive US crypto market‑structure bill could slam shut if Congress fails to move it before the August recess.

Digital asset investment firm NYDIG has warned that the leading US crypto market-structure bill may effectively “fail” if it does not make substantial progress in Congress before lawmakers leave Washington for the August recess, according to FinanceFeeds. The firm argues that the fragile bipartisan consensus around a broad crypto regulatory framework amounts to a “brief window” that could slam shut once Congress returns to a calendar dominated by midterm elections, budget fights and partisan priorities.

NYDIG’s assessment is blunt: if the bill does not advance “in the coming months,” the probability of passage “may significantly decrease” as legislative attention fragments and the political cost of tackling crypto grows. In that scenario, the US risks replaying the past several years of gridlock, with high-profile enforcement actions filling the vacuum left by the absence of a clear statutory market-structure regime.

At stake is one of the most ambitious attempts yet to build a comprehensive federal framework for digital assets in the US. The draft bill is designed to clarify how tokens are classified, draw a bright line between securities overseen by the SEC and commodities under the CFTC, and create unified operational standards for exchanges, brokers and other crypto businesses.

According to the FinanceFeeds report, the proposed market-structure legislation would, for the first time, codify which digital assets fall under securities law and which are treated as commodities, addressing a long-running turf war between the SEC and CFTC. It would also establish common rules for trading venues and service providers, aiming to replace today’s patchwork of guidance, enforcement actions and state-by-state licensing with a single, more predictable regime.

But NYDIG notes that key issues remain unresolved, including stablecoin oversight, how to regulate DeFi protocols , the contours of consumer protection and how to handle conflicts of political interest. Those disagreements have slowed negotiations and raised doubts about whether lawmakers can lock in compromises before the August deadline.

The firm’s warning comes as global competition intensifies. NYDIG points out that extended US uncertainty is already driving capital, talent and innovation toward jurisdictions with clearer rules, citing the UAE , Singapore and the EU’s MiCA framework as examples of regions that are actively benefiting from America’s drift.

If Congress misses this legislative window, industry participants fear the US could again default to rulemaking by enforcement, with no durable settlement on market structure for years. That would leave exchanges, issuers and developers operating under legal ambiguity just as other financial centers lock in their own digital-asset regimes and pitch themselves as safer homes for long-term investment.",news:cryptonews,BTC,BTCUSDT,BTCUSDT,macro,observe,4
cand_00414,2026-05-19 01:50:17 UTC+8,2026-05-18T17:50:17Z,2026-05-19 01:50:17 UTC+8,代币化国债总额创历史新高达137亿美元,币界网消息，据Cointelegraph报道，代币化国债的总额达到了新的历史高点，达到137亿美元，主要由Circle、Securitize和Franklin Templeton领导。,webhook,BTC,BTCUSDT,BTCUSDT,macro,observe,4
