command_id,category,command,purpose,primary_outputs,safe_default,requires_network,requires_secret,notes,script_exists
v14_security_alert_ingest,source_ingest,python scripts/ingest_security_alerts.py --source etherscan-labels --label phish-hack --limit 200,Try ingesting external security address-risk labels into local normalized CSV.,data/security_events/security_events_normalized.csv; results/v14_security_alert_ingest_summary.csv,yes,yes,yes,Requires ETHERSCAN_API_KEY in environment. Current Etherscan metadata export may require higher access level; failure is recorded as warning without leaking the key.,yes
v14_etf_daily_digest,daily_digest,python scripts/build_etf_daily_digest.py,Fetch Farside public BTC ETF flow table and build daily ETF flow digest candidate.,data/etf_daily_flows_farside.csv; results/v14_etf_daily_digest.md; results/v14_etf_daily_digest_summary.csv,yes,yes,no,"Daily ETF flow belongs in evening digest, not intraday alerting. Uses public web data and marks low-flow days as archive-only.",yes
v14_first_hand_publish_candidates,publishing_quality,python scripts/build_first_hand_publish_candidates.py,"Route first-hand watcher alerts into intraday, digest, daily digest, or archive candidates.",data/v14_first_hand_publish_candidates.csv; results/v14_first_hand_publish_candidates_summary.csv; results/v14_first_hand_publish_candidates.md,yes,no,no,Static Hyperliquid snapshots are archived unless there is a real state change; token unlocks are digest-only; CEX listings are digest candidates.,yes
v14_publishable_criteria_validation,publishing_quality,python scripts/validate_publishable_criteria.py,Validate minimum publishable criteria against known historical golden events.,results/v14_publishable_criteria_validation.csv; results/v14_publishable_criteria_validation_summary.csv,yes,no,no,Golden sample contains expected publishable and non-publishable events; script fails if criteria rejects expected publishable events or admits expected rejects.,yes
v14_adversarial_golden_validation,publishing_quality,python scripts/generate_adversarial_golden_samples.py,Generate adversarial publishable/non-publishable samples and validate criteria against boundary cases.,data/v14_adversarial_golden_events.csv; results/v14_adversarial_golden_validation.csv; results/v14_adversarial_golden_validation_summary.csv,yes,no,no,Expected to expose some false positives/false negatives; a perfect score is suspicious rather than desirable.,yes
v14_etf_daily_digest_with_baseline,daily_digest,python scripts/build_etf_daily_digest_with_baseline.py,"Build ETF daily digest with rolling 90d percentile, same-period comparison, top ETF share, and calendar-effect threshold adjustment.",results/v14_etf_daily_digest_with_context.md; results/v14_etf_daily_digest_with_context_summary.csv,yes,no,no,"Uses already exported Farside data. Belongs in morning/evening digest, not high-frequency intraday alerts.",yes
v14_hyperliquid_snapshot_card_v2,daily_digest,python scripts/aggregate_hyperliquid_snapshot_with_baseline.py,"Aggregate Hyperliquid monitored positions with available baseline, market share, HYPE/non-HYPE long-short split, and liquidation-risk wording.",results/v14_hyperliquid_snapshot_card_v2.md; results/v14_hyperliquid_snapshot_v2_summary.csv,conditional,yes,no,"Uses Hyperliquid public API for total open interest. If 24h baseline is missing, the card must explicitly say so.",yes
v14_project_os_warning_review,project_os,python scripts/review_project_os_warnings.py,Classify non-blocking Project OS review items so they do not hide real launch blockers.,results/v14_project_os_warning_review.csv; results/v14_project_os_warning_review.md,yes,no,no,Review report only; does not suppress validation warnings.,yes
v14_false_positive_monitor,publishing_quality,python scripts/build_false_positive_monitor.py,Build offline false-positive and false-negative monitoring from adversarial validation without relying on user feedback.,results/v14_false_positive_monitor.csv; results/v14_false_positive_monitor_summary.csv; results/v14_false_positive_monitor.md,yes,no,no,Uses historical/adversarial validation only. Does not require TG user feedback or manual review.,yes
v14_false_negative_case_review,publishing_quality,python scripts/review_false_negative_cases.py,Review false-negative cases and identify required cross-validation evidence before loosening source gates.,results/v14_false_negative_case_review.csv; results/v14_false_negative_case_review_summary.csv; results/v14_false_negative_case_review.md,yes,no,no,Does not auto-loosen source_basis rules; produces evidence requirements for later rule changes.,yes
v14_hyperliquid_baseline_readiness,daily_digest,python scripts/validate_hyperliquid_baseline_readiness.py,Validate whether Hyperliquid snapshot baseline is mature enough to remove Beta wording from daily digests.,results/v14_hyperliquid_baseline_readiness.csv; results/v14_hyperliquid_baseline_readiness.md,yes,no,no,Uses existing Hyperliquid summary; does not wait or fetch live data.,yes
v14_weekly_fp_analysis,publishing_quality,python scripts/build_weekly_fp_analysis.py,"Build weekly offline FP/FN analysis from validation monitors, including reason distribution and rule-improvement next actions.",results/v14_weekly_fp_analysis.md; results/v14_weekly_fp_analysis_summary.csv,yes,no,no,Historical/offline validation only; no user feedback dependency.,yes
v14_market_state_snapshot,daily_digest,python scripts/build_market_state_snapshot.py,"Fetch public Binance USD-M price, volume, open-interest, funding, and crowding context for the first screen of TG digests.",results/v14_market_state_snapshot.csv; results/v14_market_state_snapshot_summary.csv; results/v14_market_state_snapshot.md,yes,yes,no,Observation-only market-structure context. Does not generate trade directions or orders.,yes
v14_focus_assets,daily_digest,python scripts/market/select_focus_assets.py,Select BTC/ETH-first focus assets and prevent small-cap assets from polluting TG digest first screen unless extreme thresholds are met.,results/v14_focus_assets.csv; results/v14_focus_assets_summary.csv,yes,no,no,Uses config/asset_tiers.yaml and market-state snapshot rows.,yes
v14_price_oi_quadrant,daily_digest,python scripts/market/classify_price_oi_quadrant.py,Classify price/open-interest combinations into plain-Chinese market-structure explanations.,results/v14_price_oi_quadrant.csv; results/v14_price_oi_quadrant_summary.csv,yes,no,no,Observation-only explanation layer; does not output trading instructions.,yes
v14_etf_plain_summary,daily_digest,python scripts/reporting/generate_etf_summary.py,Convert ETF daily flow percentile context into a short Chinese first-screen digest block.,results/v14_etf_plain_summary.md; results/v14_etf_plain_summary.csv; results/v14_etf_concentration_interpretation.txt,yes,no,no,Uses existing BTC ETF context summary and optional data/eth_etf_flows_farside.csv. ETH missing data is not faked.,yes
v14_eth_etf_fetch,daily_digest,python scripts/build_etf_daily_digest.py --asset ETH --url https://farside.co.uk/eth/ --output data/eth_etf_flows_farside.csv --digest-output results/v14_eth_etf_daily_digest.md --summary results/v14_eth_etf_daily_digest_summary.csv,Attempt to fetch public Farside ETH ETF flow table into local CSV for ETF first-screen summary.,data/eth_etf_flows_farside.csv; results/v14_eth_etf_daily_digest.md; results/v14_eth_etf_daily_digest_summary.csv,yes,yes,no,Currently may return warning/no_rows_parsed if Farside Cloudflare blocks local scraping. Do not fabricate ETH ETF data.,yes
v14_market_state_first_screen,daily_digest,python scripts/reporting/generate_market_state_summary.py,Generate a concise first-screen market-state block for TG morning/noon/evening digest.,results/v14_market_state_first_screen.md; results/v14_market_state_first_screen_summary.csv,yes,no,no,"Runs focus asset, quadrant, and ETF summary dependencies before rendering.",yes
v14_market_alert_headline,daily_digest,python scripts/reporting/generate_alert_headline.py,Generate one plain-Chinese abnormality headline for the top of TG market-state digest.,results/v14_market_alert_headline.txt; results/v14_market_alert_headline_summary.csv,yes,no,no,"Triggers on major BTC/ETH moves, ETF extremes, funding extremes, and high-priority event density.",yes
v14_derivatives_history_percentiles,daily_digest,python scripts/market/build_derivatives_history_percentiles.py,Fetch public Binance USD-M funding-rate and open-interest history and compute historical percentiles for TG market-state context.,data/funding_rate/funding_rate_percentiles.csv; data/oi/oi_percentiles.csv; results/v14_derivatives_history_percentiles_summary.csv; results/v14_derivatives_history_percentiles.md,yes,yes,no,Uses 90d funding history and 4h OI history to avoid waiting for local accumulation. Observation-only context.,yes
v15_percentile_alerts,daily_digest,python scripts/market/generate_percentile_alerts.py,"Convert derivative historical percentiles into layered TG placement buckets: first-screen alerts, today-watch candidates, radar triggers, and digest-only context.",results/v15_percentile_alerts.json; results/v15_percentile_alerts.csv; results/v15_percentile_alerts.md; results/v15_percentile_alerts_summary.csv,yes,no,no,Uses existing market-state and derivative-percentile files. Observation-only wording; no trading instructions.,yes
v15_hyperliquid_market_meta,first_hand_intel,python scripts/hyperliquid/fetch_market_meta.py && python scripts/hyperliquid/generate_market_meta_card.py,Fetch Hyperliquid official public perp market metadata and render a concise market-structure card.,data/hyperliquid/market_meta_snapshot.csv; data/hyperliquid/market_meta_history.csv; results/v15_hyperliquid_market_meta_card.md; results/v15_hyperliquid_market_meta_summary.csv,yes,yes,no,Uses official public info API metaAndAssetCtxs. Does not use third-party liquidation heatmap estimates.,yes
v15_hyperliquid_liquidation_wall,first_hand_intel,python scripts/hyperliquid/generate_liquidation_wall.py,Group monitored Hyperliquid large positions into nearest liquidation-wall context for radar or digest routing.,results/v15_hyperliquid_liquidation_wall.md; results/v15_hyperliquid_liquidation_wall.csv; results/v15_hyperliquid_liquidation_wall_summary.csv,yes,no,no,Uses only local monitored position state. Distance under 5% is radar; under 10% is digest; otherwise hidden.,yes
v14_prioritized_events,daily_digest,python scripts/events/prioritize_events.py,"Audit which TG digest events become top-watch versus other-dynamic items, with explicit scoring reasons.",results/v14_prioritized_events.csv; results/v14_today_focus_events.csv; results/v14_other_events.csv; results/v14_prioritized_events.md; results/v14_prioritized_events_summary.csv,yes,no,no,Static large positions are downweighted; top-watch is capped at three items.,yes
v14_e2e_publish_preview,publishing_quality,python scripts/test_end_to_end_publish.py,Build local end-to-end publish preview from ETF and first-hand watcher candidates without sending Telegram.,results/v14_e2e_publish_preview.md; results/v14_e2e_publish_preview_summary.csv,yes,no,no,Local preview only. Does not send messages.,yes
v14_hyperliquid_snapshot_card,daily_digest,python scripts/aggregate_hyperliquid_snapshot.py,Aggregate Hyperliquid static position snapshots into morning/evening background card.,results/v14_hyperliquid_snapshot_card.md; results/v14_hyperliquid_snapshot_summary.csv,yes,no,no,Static position snapshots are background context only. Real-time alerting requires state changes.,yes
signal_decay_curve_v11,source_quality,python scripts/build_signal_decay_curve.py --outcomes data/tg_alert_outcomes.csv --historical-backfill results/v08_historical_replay_broad_200_price_backfill.csv --historical-quality results/v08_historical_replay_broad_200_quality_report.csv --output results/signal_decay_curve.csv --summary results/signal_decay_curve_summary.csv --markdown-output results/signal_decay_curve.md,Build horizon-level signal decay curves for event type/source subtype groups.,results/signal_decay_curve.md; results/signal_decay_curve.csv; results/signal_decay_curve_summary.csv,yes,no,no,Used to avoid overstating short-lived or immature signals.,yes
false_positive_analysis_v11,source_quality,python scripts/build_false_positive_analysis.py --outcomes data/tg_alert_outcomes.csv --decision-log data/tg_radar_decision_log.csv --output results/false_positive_analysis.csv --summary results/false_positive_analysis_summary.csv --markdown-output results/false_positive_analysis.md,Analyze likely false-positive/noisy TG alert groups from outcome rows and radar decision logs.,results/false_positive_analysis.md; results/false_positive_analysis.csv; results/false_positive_analysis_summary.csv,yes,no,no,Uses statistical/passive feedback only. Does not rely on user reactions and does not produce trade instructions.,yes
signal_policy_v11,source_quality,python scripts/build_v11_signal_policy.py --event-matrix results/event_type_performance_matrix.csv --non-benchmark-event-matrix results/event_type_performance_matrix_non_benchmark_alt.csv --source-effectiveness results/source_effectiveness_report.csv --false-positive results/false_positive_analysis.csv --output data/tg_signal_policy_v11.csv --summary results/v11_signal_policy_summary.csv --report results/v11_signal_policy_report.md,"Build machine-readable TG routing policy from historical matrix, source effectiveness, and passive false-positive analysis.",data/tg_signal_policy_v11.csv; results/v11_signal_policy_report.md; results/v11_signal_policy_summary.csv,yes,no,no,Controls priority and cooldown only. It does not create trade direction or buy/sell advice.,yes
source_adapter_validation_v11,source_quality,python scripts/validate_source_adapter_outputs.py --input data/watcher_events_raw.csv --registry data/source_registry.csv --output results/source_adapter_validation_report.csv --summary results/source_adapter_validation_summary.csv --markdown-output results/source_adapter_validation_report.md,Validate normalized watcher/news/calendar source outputs against the v11 adapter schema and registry.,results/source_adapter_validation_report.md; results/source_adapter_validation_report.csv; results/source_adapter_validation_summary.csv,yes,no,no,Adapter QA only. Prevents unregistered or malformed sources from quietly entering downstream reports.,yes
shadow_source_evaluation_v11,source_quality,python scripts/run_shadow_source_evaluation.py --registry data/source_registry.csv --watcher-events data/watcher_events_raw.csv --shadow-output data/shadow_events_raw.csv --summary results/shadow_source_evaluation_summary.csv --report results/shadow_source_evaluation_report.md,Extract shadow-mode source events and summarize whether they are ready for live routing.,data/shadow_events_raw.csv; results/shadow_source_evaluation_report.md; results/shadow_source_evaluation_summary.csv,yes,no,no,Keeps unproven sources in shadow until enough evidence exists.,yes
tg_evidence_snippets_v11,publishing_quality,python scripts/render_tg_evidence_snippet.py --alerts data/tg_alert_ledger.csv --event-matrix results/event_type_performance_matrix.csv --source-effectiveness results/source_effectiveness_report.csv --output data/tg_evidence_snippets.csv --markdown-output results/tg_evidence_snippets.md,Render evidence-based snippets for TG cards and digests using source effectiveness and event performance data.,data/tg_evidence_snippets.csv; results/tg_evidence_snippets.md,yes,no,no,Replaces black-box wording with sample-count and quality caveats.,yes
llm_usage_report_v11,cost_control,python scripts/build_llm_usage_report.py --input data/llm_usage_ledger.csv --output results/llm_usage_report.csv --summary results/llm_usage_summary.csv --markdown-output results/llm_usage_report.md,"Summarize Claude/OpenRouter call count, token usage, estimated spend, and failure rate.",results/llm_usage_report.md; results/llm_usage_report.csv; results/llm_usage_summary.csv,yes,no,no,No secrets are logged. Historical calls before the ledger patch are not backfilled.,yes
readiness_report_v11,source_quality,python scripts/build_v11_readiness_report.py --output results/v11_readiness_report.md --summary results/v11_readiness_summary.csv,"Build one readiness report across source registry, adapter validation, source effectiveness, event matrix, signal decay, shadow mode, evidence snippets, digest preview, and LLM cost.",results/v11_readiness_report.md; results/v11_readiness_summary.csv,yes,no,no,This is the current v11 progress dashboard and explicitly reports weak evidence instead of overstating conclusions.,yes
import_token_unlock_calendar_v081,source_quality,python scripts/import_raw_token_unlocks_to_calendar.py --input data/raw_token_unlocks_template.csv --output data/token_unlock_calendar_imported.csv,Normalize a raw token-unlock CSV export into the local token_unlock_calendar schema without overwriting the live calendar.,data/token_unlock_calendar_imported.csv; results/v081_token_unlock_import_report.md; results/v081_token_unlock_import_summary.csv,yes,no,no,Default output is a preview file. Use --output data/token_unlock_calendar.csv only after reviewing quality.,yes
v06_intake_quality,event_intake,python scripts/run_v06_event_intake_quality.py --input data/event_candidates_real_500_older_review_suggested.csv,Run v0.6 entity/taxonomy/dedup/relevance pipeline on older500 candidates.,data/event_candidates_v06_enriched.csv; data/event_candidates_v06_relevance_scored.csv; results/v06_relevance_filter_summary.csv,yes,no,no,Local CSV only.,yes
time_audit,quality,python scripts/audit_event_time_provenance.py --candidates data/event_candidates_real_500_older_review.csv --backfill results/v043_older_mature50_event_price_backfill.csv --output results/v043_time_provenance_report.csv --summary results/v043_time_provenance_summary.csv,Audit event time provenance and price kline lag.,results/v043_time_provenance_report.csv; results/v043_time_provenance_summary.csv,yes,no,no,Checks China-time/UTC consistency.,yes
v043_relevance_audit,quality,python scripts/audit_v043_selection_against_v06.py,Audit the historical v043 selected backtest sample against current v0.6 relevance decisions.,results/v043_selection_vs_v06_relevance_audit.md; results/v043_selection_vs_v06_discard_breakdown.csv; results/v043_selection_vs_v06_event_type_impact.csv,yes,no,no,Keeps v043 labeled as a historical baseline when current v0.6 would discard selected rows.,yes
price_source_validation,quality,python scripts/validate_price_sources.py --sample-size 30 --output results/price_source_validation_report.csv --recent-output results/recent_price_point_sample.csv,Sample Binance price source validation and produce a recent price point for manual checking.,results/price_source_validation_report.csv; results/recent_price_point_sample.csv,conditional,yes,no,Uses public market data only.,yes
symbol_map_validation,quality,python scripts/validate_symbol_map.py,Validate data/symbol_map.csv symbols against public Binance spot and USD-M futures exchangeInfo.,results/symbol_map_market_validation.md; results/symbol_map_market_validation_summary.csv,conditional,yes,no,Public market metadata only; not part of the default quality gate because it depends on network availability.,yes
v05_research_validation,backtest,python scripts/run_v05_research_validation.py,Run statistical validation on event returns.,results/v05_event_return_statistical_validation.md,yes,no,no,"Research validation only, not trading advice.",yes
v06_clean_low_risk_preview_backtest,backtest,python scripts/run_v06_clean_low_risk_preview_backtest.py --limit 50,Run a non-destructive sanity-check backtest on the current v0.6 clean low-risk preview subset.,results/v06_clean_low_risk_preview_event_price_backfill.csv; results/v06_clean_low_risk_preview_backtest_findings.md,conditional,yes,no,Preview only; too small for statistical conclusions and does not replace v043 historical outputs.,yes
tg_draft_private_pilot,publishing_draft,python scripts/generate_tg_drafts.py --input data/event_candidates_v06_clean_low_risk_preview.csv --output data/tg_drafts_v06_private_pilot.csv --markdown-output results/tg_drafts_v06_private_pilot.md --limit 20,Generate local Telegram-style private pilot drafts without calling Telegram or sending messages.,data/tg_drafts_v06_private_pilot.csv; results/tg_drafts_v06_private_pilot.md,yes,no,no,Draft-only queue; every row remains pending_review and auto_send_enabled=false.,yes
tg_draft_prefilter,publishing_draft,python scripts/prefilter_tg_draft_candidates.py --input data/event_candidates_v06_clean_low_risk_preview.csv --output data/event_candidates_v06_tg_prefilter_pass.csv --rejects-output data/event_candidates_v06_tg_prefilter_rejects.csv --summary results/tg_draft_prefilter_summary.csv,"Apply local pre-Claude filters for duplicates, weak generic content, weak marketing/adoption stories, and incomplete titles.",data/event_candidates_v06_tg_prefilter_pass.csv; data/event_candidates_v06_tg_prefilter_rejects.csv; results/tg_draft_prefilter_summary.csv,yes,no,no,Reduces Claude calls by filtering obvious rejects locally.,yes
tg_draft_feedback_summary,publishing_draft,python scripts/summarize_tg_draft_feedback.py --input data/tg_drafts_v06_private_pilot.csv --summary results/tg_draft_feedback_summary.csv --markdown-output results/tg_draft_feedback_summary.md,Summarize local TG draft private-pilot feedback after reviewer fields are filled.,results/tg_draft_feedback_summary.csv; results/tg_draft_feedback_summary.md,yes,no,no,Local review metrics only; does not approve auto-send.,yes
tg_draft_ai_review,publishing_draft,python scripts/ai_review_tg_drafts.py --input data/tg_drafts_v06_private_pilot.csv --output data/tg_drafts_v06_private_pilot_ai_reviewed.csv --summary results/tg_draft_ai_review_summary.csv --limit 20 --apply,Use Claude/OpenRouter to review local TG drafts and fill reviewer fields.,data/tg_drafts_v06_private_pilot_ai_reviewed.csv; results/tg_draft_ai_review_summary.csv,conditional,yes,yes,Requires OPENROUTER_API_KEY only in the current terminal environment. Review suggestions only; no Telegram send.,yes
tg_approved_pool,publishing_draft,python scripts/build_approved_tg_draft_pool.py --input data/tg_drafts_v06_private_pilot.csv --output data/tg_drafts_v06_approved_pool.csv --summary results/tg_draft_approved_pool_summary.csv --markdown-output results/tg_draft_approved_pool.md,Build approved-only local TG draft pool from AI-reviewed draft queue.,data/tg_drafts_v06_approved_pool.csv; results/tg_draft_approved_pool.md,yes,no,no,Does not send messages; approved pool is still local.,yes
tg_draft_review_packet,publishing_draft,python scripts/prepare_tg_draft_review_packet.py --input data/tg_drafts_v06_private_pilot.csv --output data/tg_draft_review_packet.csv --markdown-output results/tg_draft_review_packet.md --limit 20 --only-pending,Prepare a compact packet for reviewing local TG drafts without editing the wide draft CSV directly.,data/tg_draft_review_packet.csv; results/tg_draft_review_packet.md,yes,no,no,Review helper only; does not send or approve messages.,yes
tg_draft_apply_review_packet,publishing_draft,python scripts/apply_tg_draft_review_packet.py --drafts data/tg_drafts_v06_private_pilot.csv --packet data/tg_draft_review_packet.csv --output data/tg_drafts_v06_private_pilot.csv,Apply compact review packet fields back to the main local TG draft queue.,data/tg_drafts_v06_private_pilot.csv; results/tg_draft_review_packet_apply_summary.csv,yes,no,no,Local CSV merge only; does not send or approve externally.,yes
tg_draft_validation,publishing_draft,python scripts/validate_tg_drafts.py --input data/tg_drafts_v06_private_pilot.csv --output results/tg_draft_validation_report.csv --summary results/tg_draft_validation_summary.csv --markdown-output results/tg_draft_validation_report.md,"Validate local TG draft safety: no auto-send, required fields present, no recommendation language.",results/tg_draft_validation_report.csv; results/tg_draft_validation_summary.csv,yes,no,no,Hard safety check for draft-only pilot.,yes
other_review_reason_split,event_intake,python scripts/classify_other_review_reasons.py --input data/event_candidates_v06_other_review_queue.csv --output data/event_candidates_v06_other_review_classified.csv --summary results/v06_other_review_reason_summary.csv --markdown-output results/v06_other_review_reason_summary.md,Split the broad other_review bucket into explicit rule-based review/reject reasons without mutating the source queue.,data/event_candidates_v06_other_review_classified.csv; results/v06_other_review_reason_summary.csv,yes,no,no,Supports taxonomy cleanup and discard audit; does not publish or backtest rows.,yes
backtest_readiness,backtest,python scripts/build_backtest_readiness_report.py,Summarize whether existing backtest outputs are safe to use as statistical conclusions.,results/backtest_readiness_report.md; results/backtest_readiness_summary.csv,yes,no,no,Conclusion-safety report only; does not run prices or alter samples.,yes
